26.49 	6.005	0.011    
31.1  	4.383	0.007    
35.69 	3.123	0.009    
40.24 	2.363	0.005    
44.75 	1.71 	0.008    
49.22 	1.388	0.004    
53.64 	1.037	0.006    
58.01 	0.78 	0.004    
62.32 	0.624	0.005    
66.58 	0.523	0.003    
70.77 	0.429	0.003    
74.9  	0.341	0.002    
78.75 	0.273	0.002    
84.73 	0.222	0.001    
90.73 	0.18 	0.001    
96.74 	0.164	0.001    
102.76	0.137	0.001    
108.8 	0.129	0.001    
114.85	0.129	0.001    
120.91	0.126	0.001    
126.99	0.146	0.001    
133.08	0.156	0.001    
139.17	0.18 	0.001    
145.28	0.201	0.001    
151.4 	0.264	0.001    
157.52	0.305	0.002    
162.62	0.351	0.003    
169.78	0.446	0.002
